tag,ts,host,cudart,mode,precision,gpus,M,N,K,iters,warmup,agg_tflops,per_gpu_tflops,pct_peak,wall_ms,sm_mhz_avg,sm_mhz_max,mem_mhz_avg,power_w_avg,power_w_max,temp_c_max,throttle,util_pct_avg,mem_gb_per_gpu,fp64_tensor,validated,max_rel_err,h2d_ms,d2h_ms,compute_ms,e2e_ms,h2d_gbps,d2h_gbps,eff_tflops,transfer_pct,engine,density,nnz,status
split,1789144907,NVIDIA_A30,11050,split,fp32,1,512,512,512,15,3,3.98,3.98,20.41,1.012,930,930,1215,32.4,32.4,28,none,12.0,0.003,0,1,5.45e-06,0.185,0.076,0.067,0.329,11.3,13.7,0.817,79.5,dense,1,262144,ok
split,1789144908,NVIDIA_A30,11050,split,fp64,1,512,512,512,15,3,1.34,1.34,13.85,2.997,0,0,0,0.0,0.0,0,none,0.0,0.006,0,1,0,0.353,0.129,0.200,0.682,11.9,16.3,0.394,70.7,dense,1,262144,ok
split,1789144908,NVIDIA_A30,11050,split,bf16,1,512,512,512,15,3,19.09,19.09,6.12,0.211,0,0,0,0.0,0.0,0,none,0.0,0.002,0,1,3.3e-06,0.089,0.065,0.014,0.168,11.7,16.2,1.597,91.6,dense,1,262144,ok
split,1789144908,NVIDIA_A30,11050,split,fp32,1,1024,1024,1024,15,3,5.87,5.87,30.10,5.489,930,930,1215,32.4,32.4,28,none,12.0,0.013,0,1,3.59e-05,0.685,0.285,0.366,1.335,12.3,14.7,1.608,72.6,dense,1,1048576,ok
split,1789144908,NVIDIA_A30,11050,split,fp64,1,1024,1024,1024,15,3,2.08,2.08,21.47,15.470,930,930,1215,32.4,32.4,28,none,12.0,0.025,0,1,0,1.331,0.528,1.031,2.891,12.6,15.9,0.743,64.3,dense,1,1048576,ok
split,1789144908,NVIDIA_A30,11050,split,bf16,1,1024,1024,1024,15,3,39.42,39.42,12.63,0.817,0,0,0,0.0,0.0,0,none,0.0,0.008,0,1,7.07e-06,0.333,0.229,0.054,0.616,12.6,18.3,3.484,91.2,dense,1,1048576,ok
split,1789144908,NVIDIA_A30,11050,split,fp32,1,2048,2048,2048,15,3,5.88,5.88,30.17,43.799,930,930,1215,53.5,58.6,28,none,23.6,0.050,0,1,9.37e-05,2.879,1.123,2.920,6.922,11.7,14.9,2.482,57.8,dense,1,4194304,ok
split,1789144908,NVIDIA_A30,11050,split,fp64,1,2048,2048,2048,15,3,2.72,2.72,27.99,94.905,1104,1170,1215,81.9,92.8,29,none,28.0,0.101,0,1,0,3.902,2.201,6.327,12.430,17.2,15.2,1.382,49.1,dense,1,4194304,ok
split,1789144908,NVIDIA_A30,11050,split,bf16,1,2048,2048,2048,15,3,77.62,77.62,24.88,3.320,1170,1170,1215,92.8,92.8,29,none,28.0,0.034,0,1,3.4e-05,1.354,0.758,0.221,2.333,12.4,22.1,7.364,90.5,dense,1,4194304,ok
split,1789144909,NVIDIA_A30,11050,split,fp32,1,4096,4096,4096,15,3,9.21,9.21,47.26,223.726,1347,1395,1215,144.2,169.9,33,sw_pwr,15.1,0.201,0,0,-1,9.536,3.864,14.915,28.316,14.1,17.4,4.854,47.3,dense,1,16777216,ok
split,1789144909,NVIDIA_A30,11050,split,fp64,1,4096,4096,4096,15,3,3.30,3.30,33.97,625.650,1337,1350,1215,161.8,171.1,34,sw_pwr,98.8,0.403,0,0,-1,15.210,6.863,41.710,63.783,17.6,19.6,2.155,34.6,dense,1,16777216,ok
split,1789144910,NVIDIA_A30,11050,split,bf16,1,4096,4096,4096,15,3,130.13,130.13,41.71,15.842,1363,1380,1215,167.9,167.9,34,sw_pwr,100.0,0.134,0,0,-1,5.778,3.398,1.056,10.232,11.6,19.7,13.432,89.7,dense,1,16777216,ok
split,1789144911,NVIDIA_A30,11050,split,fp32,1,8192,8192,8192,15,3,9.40,9.40,48.21,1754.255,1347,1365,1215,163.8,168.8,36,sw_pwr,99.5,0.805,0,0,-1,29.633,13.954,116.950,160.537,18.1,19.2,6.849,27.2,dense,1,67108864,ok
split,1789144914,NVIDIA_A30,11050,split,fp64,1,8192,8192,8192,15,3,3.27,3.27,33.68,5048.231,1313,1335,1215,164.7,170.2,38,sw_pwr,100.0,1.611,0,0,-1,45.968,25.765,336.549,408.282,23.4,20.8,2.693,17.6,dense,1,67108864,ok
split,1789144920,NVIDIA_A30,11050,split,bf16,1,8192,8192,8192,15,3,98.44,98.44,31.55,167.546,1218,1425,1215,126.7,171.5,38,sw_pwr,99.4,0.537,0,0,-1,24.780,13.516,11.170,49.466,10.8,19.9,22.228,77.4,dense,1,67108864,ok
split,1789144926,NVIDIA_A30,11050,split,fp32,1,16384,16384,16384,15,3,9.35,9.35,47.97,14106.279,1330,1380,1215,164.3,173.2,43,sw_pwr,100.0,3.221,0,0,-1,97.969,51.459,940.419,1089.846,21.9,20.9,8.071,13.7,dense,1,268435456,ok
split,1789144943,NVIDIA_A30,11050,split,fp64,1,16384,16384,16384,15,3,3.23,3.23,33.30,40844.660,1299,1320,1215,164.4,172.5,50,sw_pwr,100.0,6.442,0,0,-1,180.809,98.921,2722.977,3002.707,23.8,21.7,2.929,9.3,dense,1,268435456,ok
split,1789144993,NVIDIA_A30,11050,split,bf16,1,16384,16384,16384,15,3,111.82,111.82,35.84,1179.911,1050,1080,1215,162.9,177.7,50,sw_pwr,100.0,2.147,0,0,-1,93.920,50.451,78.661,223.032,11.4,21.3,39.439,64.7,dense,1,268435456,ok
split,1789145020,NVIDIA_A30,11050,split,fp32,1,32768,32768,32768,15,3,8.55,8.55,43.86,123410.461,1259,1290,1215,164.6,172.9,58,sw_pwr,100.0,12.885,0,0,-1,363.177,196.969,8227.364,8787.510,23.7,21.8,8.008,6.4,dense,1,1073741824,ok
split,1789145168,NVIDIA_A30,11050,split,fp64,1,32768,32768,32768,15,3,0,0,0,0,0,0,0,0,0,0,none,0,25.770,0,0,-1,0,0,0,0,0,0,0,0,dense,1,1073741824,oom-skip
split,1789145168,NVIDIA_A30,11050,split,bf16,1,32768,32768,32768,15,3,85.17,85.17,27.30,12393.617,1027,1065,1215,164.7,169.9,56,sw_pwr,100.0,8.590,0,0,-1,178.844,196.870,826.241,1201.955,24.0,21.8,58.545,31.3,dense,1,1073741824,ok
split,1789145264,NVIDIA_A30,11050,split,fp32,1,65536,65536,65536,15,3,0,0,0,0,0,0,0,0,0,0,none,0,51.540,0,0,-1,0,0,0,0,0,0,0,0,dense,1,4294967296,oom-skip
split,1789145264,NVIDIA_A30,11050,split,fp64,1,65536,65536,65536,15,3,0,0,0,0,0,0,0,0,0,0,none,0,103.079,0,0,-1,0,0,0,0,0,0,0,0,dense,1,4294967296,oom-skip
split,1789145264,NVIDIA_A30,11050,split,bf16,1,65536,65536,65536,15,3,0,0,0,0,0,0,0,0,0,0,none,0,34.360,0,0,-1,0,0,0,0,0,0,0,0,dense,1,4294967296,oom-skip
